OTA25185.1	B0A54|B0A54_17246-T1	47.81	366	176	5	7	358	1	365	8e-113	  336
OTA25185.1	B0A54|B0A54_06750-T1	47.67	365	178	3	7	358	1	365	1e-112	  336
OTA25185.1	B0A54|B0A54_16910-T1	31.34	134	85	2	232	358	1	134	6e-10	57.0
OTA32074.1	B0A54|B0A54_06750-T1	46.99	366	177	5	7	357	1	364	1e-106	  320
OTA32074.1	B0A54|B0A54_17246-T1	47.27	366	176	5	7	357	1	364	3e-106	  319
OTA38829.1	B0A54|B0A54_13537-T1	46.16	925	286	24	48	964	1	721	0.0	  638
OTA38829.1	B0A54|B0A54_04954-T1	38.19	631	197	22	346	960	10	463	3e-90	  298
OTA38829.1	B0A54|B0A54_16908-T1	44.00	75	42	0	162	236	117	191	1e-15	80.5
OTA38829.1	B0A54|B0A54_10913-T1	36.36	99	53	2	150	238	231	329	6e-12	68.2
OTA38829.1	B0A54|B0A54_13571-T1	32.79	122	71	3	127	238	207	327	8e-12	68.2
OTA38829.1	B0A54|B0A54_09591-T1	29.55	88	61	1	163	249	168	255	7e-06	49.7
OTA34553.1	B0A54|B0A54_13537-T1	59.11	450	123	13	51	494	1	395	7e-145	  449
OTA34553.1	B0A54|B0A54_13537-T1	31.21	314	122	11	563	876	412	631	1e-23	  106
OTA34553.1	B0A54|B0A54_04954-T1	33.77	539	177	22	347	876	7	374	3e-50	  184
OTA34553.1	B0A54|B0A54_16908-T1	44.00	75	42	0	165	239	117	191	8e-16	80.9
OTA34553.1	B0A54|B0A54_10913-T1	36.36	99	53	2	153	241	231	329	3e-12	68.9
OTA34553.1	B0A54|B0A54_13571-T1	35.35	99	54	2	153	241	229	327	8e-12	67.8
OTA34553.1	B0A54|B0A54_09591-T1	29.55	88	61	1	166	252	168	255	5e-06	49.7
OTA34553.1	B0A54|B0A54_06966-T1	28.41	88	62	1	166	252	167	254	8e-06	48.9
OTA25324.1	B0A54|B0A54_17228-T1	87.22	1064	129	6	1	1059	1	1062	0.0	 1817
OTA25324.1	B0A54|B0A54_13354-T1	86.56	1064	136	6	1	1059	1	1062	0.0	 1807
OTA36028.1	B0A54|B0A54_17228-T1	87.59	1064	125	6	1	1059	1	1062	0.0	 1823
OTA36028.1	B0A54|B0A54_13354-T1	87.31	1064	128	6	1	1059	1	1062	0.0	 1820
