OTA25185.1	NAJQ01000689.1	37.18	312	152	5	88	355	12519	11584	4e-51	  186
OTA32074.1	NAJQ01000689.1	36.42	313	155	5	88	356	12519	11581	4e-44	  164
OTA32074.1	NAJQ01000689.1	63.16	19	7	0	68	86	12617	12561	4e-44	32.7
OTA38829.1	NAJQ01000410.1	41.80	713	244	18	169	877	8664	7027	4e-136	  355
OTA38829.1	NAJQ01000410.1	65.24	164	45	6	13	173	9167	8703	4e-136	  150
OTA38829.1	NAJQ01000689.1	54.29	35	16	0	162	196	15107	15211	5e-10	44.3
OTA38829.1	NAJQ01000689.1	36.59	41	26	0	196	236	15268	15390	5e-10	40.0
OTA38829.1	NAJQ01000188.1	36.63	101	52	4	150	241	25369	25662	8e-10	63.5
OTA38829.1	NAJQ01000188.1	36.63	101	52	4	150	241	23659	23952	1e-09	63.2
OTA38829.1	NAJQ01001361.1	59.38	32	13	0	162	193	6523	6428	2e-09	42.0
OTA38829.1	NAJQ01001361.1	36.59	41	26	0	196	236	6362	6240	2e-09	40.0
OTA38829.1	NAJQ01002046.1	59.38	32	13	0	162	193	2756	2661	3e-09	42.0
OTA38829.1	NAJQ01002046.1	36.59	41	26	0	196	236	2595	2473	3e-09	39.7
OTA34553.1	NAJQ01000410.1	55.35	327	92	9	172	494	8664	7834	7e-106	  249
OTA34553.1	NAJQ01000410.1	64.42	163	47	5	16	176	9164	8703	7e-106	  155
OTA34553.1	NAJQ01000410.1	27.07	314	141	8	563	876	7782	7105	2e-14	78.2
OTA34553.1	NAJQ01000188.1	29.56	159	93	6	102	244	23485	23952	2e-10	65.1
OTA34553.1	NAJQ01000188.1	36.63	101	52	4	153	244	25369	25662	4e-10	64.3
OTA34553.1	NAJQ01000689.1	54.29	35	16	0	165	199	15107	15211	2e-10	44.7
OTA34553.1	NAJQ01000689.1	36.59	41	26	0	199	239	15268	15390	2e-10	40.4
OTA34553.1	NAJQ01001361.1	59.38	32	13	0	165	196	6523	6428	3e-09	41.2
OTA34553.1	NAJQ01001361.1	36.59	41	26	0	199	239	6362	6240	3e-09	40.4
OTA34553.1	NAJQ01002046.1	59.38	32	13	0	165	196	2756	2661	4e-09	41.2
OTA34553.1	NAJQ01002046.1	36.59	41	26	0	199	239	2595	2473	4e-09	40.0
OTA25324.1	NAJQ01000615.1	88.44	649	73	2	385	1031	13629	11683	0.0	 1065
OTA25324.1	NAJQ01000615.1	85.36	321	42	4	1	318	14784	13828	3e-178	  583
OTA25324.1	NAJQ01000615.1	93.10	29	2	0	1031	1059	11611	11525	3e-08	58.2
OTA36028.1	NAJQ01000615.1	88.60	649	72	2	385	1031	13629	11683	0.0	 1079
OTA36028.1	NAJQ01000615.1	86.60	321	38	4	1	318	14784	13828	3e-180	  589
OTA36028.1	NAJQ01000615.1	93.10	29	2	0	1031	1059	11611	11525	3e-08	58.2
