OTA25185.1	B0A55|B0A55_3972	42.64	258	134	3	112	355	234	491	2e-57	  196
OTA32074.1	B0A55|B0A55_3972	43.24	259	133	5	112	356	234	492	2e-53	  185
OTA38829.1	B0A55|B0A55_5988	45.77	863	270	26	111	964	7	680	0.0	  596
OTA38829.1	B0A55|B0A55_3971	46.67	75	40	0	162	236	117	191	7e-17	82.0
OTA38829.1	B0A55|B0A55_451	46.67	75	40	0	162	236	30	104	1e-16	82.4
OTA38829.1	B0A55|B0A55_1597	46.67	75	40	0	162	236	30	104	2e-16	82.0
OTA38829.1	B0A55|B0A55_8820	36.63	101	52	4	150	241	227	324	6e-11	65.5
OTA38829.1	B0A55|B0A55_8820	36.63	101	52	4	150	241	553	650	8e-11	65.1
OTA38829.1	B0A55|B0A55_12680	26.47	170	105	6	83	249	103	255	5e-06	49.3
OTA34553.1	B0A55|B0A55_5988	42.78	769	243	25	114	876	7	584	2e-149	  460
OTA34553.1	B0A55|B0A55_3971	46.67	75	40	0	165	239	117	191	5e-17	82.4
OTA34553.1	B0A55|B0A55_1597	46.67	75	40	0	165	239	30	104	9e-17	82.8
OTA34553.1	B0A55|B0A55_451	46.67	75	40	0	165	239	30	104	1e-16	82.8
OTA34553.1	B0A55|B0A55_8820	29.56	159	93	6	102	244	169	324	2e-11	67.0
OTA34553.1	B0A55|B0A55_8820	36.63	101	52	4	153	244	553	650	6e-11	65.5
OTA34553.1	B0A55|B0A55_12680	29.55	88	61	1	166	252	168	255	5e-06	49.3
OTA25324.1	B0A55|B0A55_4372	87.50	1064	126	6	1	1059	1	1062	0.0	 1827
OTA36028.1	B0A55|B0A55_4372	88.25	1064	118	6	1	1059	1	1062	0.0	 1832
